Family,Genera,Species,Genome,Genome topology,Genome size (kb/kbp),EnvelopeSort descending,Virion shape,Virion size,Host,ICTV Report Chapter
Abyssoviridae,1,1,ssRNA(+),1 linear segment,35.9-36.0,,,,invertebrates,
Adamaviridae,18,22,ssDNA(+); ssDNA(+/-),1-3 circular segments,1.7-4.1,,predicted icosahedral,,"invertebrates, vertebrates",Adamaviridae
Ahmunviridae,1,1,dsDNA,1 segment,41.5-41.6,,predicted rod-shaped,,archaea,Ahmunviridae
Ahpuchviridae,1,1,dsDNA,1 segment,71.0-71.1,,predicted head-tail,,archaea,Ahpuchviridae
Alphaormycoviridae,2,9,ssRNA,2 linear segments,4.0-5.0,,,,protists,
Alphasatellitidae,18,85,ssDNA(+); ssDNA(+/-),1 circular segment,0.9-1.6,,trans-encapsidated,,"plants, invertebrates",
Amesuviridae,2,2,ssDNA(+/-),1 circular segment,2.7-3.5,,predicted icosahedral,,plants,Amesuviridae
Anicreviridae,9,9,ssDNA(+/-),1 circular segment,1.9-2.5,,predicted icosahedral,,"invertebrates, vertebrates",Anicreviridae
Aoguangviridae,1,1,dsDNA,1 linear segment,92.2-92.3,,predicted head-tail,,archaea,Aoguangviridae
Armatusviridae,1,1,dsDNA,1 linear segment,51.1-51.2,,predicted head-tail,,archaea,
Avsunviroidae,3,5,ssRNA,1 circular segment,0.2-0.5,,capsidless,,plants,Avsunviroidae
Belpaoviridae,1,11,ssRNA-RT,2 identical linear segments,4.7-9.1,,,,"invertebrates, vertebrates",Belpaoviridae
Betaormycoviridae,2,7,ssRNA,2 linear segments,3.9-4.7,,,,"fungi, protists",
Burtonviroviridae,1,1,dsDNA,1 circular segment,29.7-29.8,,,,protists,
Carmotetraviridae,1,1,ssRNA(+),1 linear segment,6.1-6.2,,icosahedral,40 nm diameter,invertebrates,Carmotetraviridae
Chaacviridae,2,3,dsDNA,1 segment,10.1-10.8,,predicted icosahedral,,archaea,Chaacviridae
Chiyouviridae,1,1,dsDNA,1 linear segment,26.8-26.9,,predicted filamentous,,archaea,
Chuviridae,16,43,ssRNA(-),1-2 linear or circular segments,9.0-12.1,,,,"invertebrates, vertebrates",Chuviridae
Clermontviridae,1,1,dsDNA,1 linear segment,37.6-37.7,,predicted head-tail,,archaea,
Crepuscuviridae,1,1,ssRNA(-),1 linear segment,12.0-12.1,,,,invertebrates,Crepuscuviridae
Crevaviridae,3,4,dsDNA,1 segment,83.4-95.9,,predicted head-tail,,bacteria,
Deltanormycoviridae,1,4,ssRNA,2 linear segments,4.5-4.9,,,,"protists, fungi",
Discoviridae,1,6,ssRNA(-),3 linear segments,6.3-9.7,,,,fungi,Discoviridae
Dishuiviroviridae,1,1,dsDNA,1 circular segment,24.7-24.8,,,,protists,
Draupnirviridae,42,67,ssDNA(+); ssDNA(+/-),1 circular segment,1.5-5.3,,predicted icosahedral,,"invertebrates, vertebrates",Draupnirviridae
Dumbiviridae,1,7,ssRNA(+/-),1 circular segment,4.2-5.0,,capsidless,,fungi,
Ekchuahviridae,1,2,dsDNA,1 segment,71.7-80.6,,predicted head-tail,,archaea,
Endolinaviridae,4,10,ssDNA(+/-),1 circular segment,2.6-3.2,,predicted icosahedral,,protists,
Endornaviridae,2,31,ssRNA(+),1 linear segment,9.6-17.7,,capsidless,,"protists, fungi, plants",Endornaviridae
Eupolintoviridae,2,2,dsDNA,1 linear segment,12.5-12.8,,,,"invertebrates, vertebrates",Eupolintoviridae
Eurekaviridae,1,1,dsDNA,1 circular segment,17.9-18.0,,predicted spindle-shaped,,archaea,
Euroniviridae,2,3,ssRNA(+),1 linear segment,24.6-29.4,,,,invertebrates,
Fusariviridae,3,34,ssRNA(+),1 linear segment,5.9-10.8,,capsidless,,"protists, fungi",Fusariviridae
Gammaormycoviridae,2,6,ssRNA,2 linear segments,4.1-4.7,,,,fungi,
Gandrviridae,8,8,ssDNA(+/-),1 circular segment,5.2-9.1,,predicted icosahedral,,"invertebrates, vertebrates",Gandrviridae
Geplanaviridae,18,30,ssDNA(+); ssDNA(+/-),1 circular segment,1.9-3.0,,predicted icosahedral,,"plants, invertebrates, vertebrates",
Gresnaviridae,1,1,ssRNA(+),1 linear segment,18.4-18.5,,,,vertebrates,
Gulliviroviridae,1,1,dsDNA,1 linear segment,30.7-30.8,,,,protists,
Hadakaviridae,1,1,ssRNA(+),10-11 linear segments,14.3-15.3,,capsidless,,fungi,Hadakaviridae
Hakuzoviridae,1,1,ssRNA,2 linear segments,10.5,,,,predicted bacteria,
Huangdiviridae,1,1,dsDNA,1 linear segment,26.6,,predicted spindle-shaped,,predicted archaea,
Hypoviridae,8,39,ssRNA(+),1 linear segment,7.3-18.4,,capsidless,,"fungi, invertebrates",Hypoviridae
Itzamnaviridae,2,2,dsDNA,1 segment,25.5-48.9,,predicted spindle-shaped,,archaea,
Kairosviridae,1,1,dsDNA,1 linear segment,34.1-34.2,,predicted head-tail,,archaea,
Kanorauviridae,24,89,ssDNA(+); ssDNA(+/-),1 circular segment,1.7-4.0,,predicted icosahedral,,"plants, invertebrates, vertebrates",
Kirkoviridae,10,12,ssDNA(+); ssDNA(+/-),1 circular segment,2.8-4.3,,predicted icosahedral,,vertebrates,Kirkoviridae
Konodaiviridae,3,3,dsDNA,1 linear segment,56.8-57.7,,predicted head-tail,,bacteria,
Leishbuviridae,1,11,ssRNA(-),3 linear segments,6.9-10.4,,,,protists,Leishbuviridae
Lutetiaviridae,1,1,dsDNA,1 linear segment,83.0-83.1,,predicted head-tail,,archaea,
Mahapunaviridae,11,31,ssDNA(+/-),1 circular segment,1.9-2.5,,predicted icosahedral,,"plants, invertebrates, vertebrates",
Medioniviridae,2,2,ssRNA(+),1 linear segment,25.0-25.1,,,,invertebrates,
Metaviridae,2,31,ssRNA-RT,2 identical linear segments,4.9-13.6,,icosahedral VLP,47 nm diameter,"protists, fungi, plants, invertebrates, vertebrates",Metaviridae
Mitoviridae,4,105,ssRNA(+),1 linear segment,2.1-5.0,,,,"fungi, plants",
Mononiviridae,1,1,ssRNA(+),1 linear segment,41.1-41.2,,,,invertebrates,
Mycoalphaviridae,2,7,ssRNA(+),1 linear segment,6.0-8.1,,,,"protists, fungi",
Nanghoshaviridae,1,1,ssRNA(+),1 linear segment,13.1-13.2,,,,vertebrates,
Nanhypoviridae,1,1,ssRNA(+),1 linear segment,18.2-18.3,,,,vertebrates,
