Family	Genome Size
Abyssoviridae	35950.0
Adamaviridae	2900.0
Ahmunviridae	41550.0
Ahpuchviridae	71050.0
Alphaormycoviridae	4500.0
Alphasatellitidae	1250.0
Amesuviridae	3100.0
Anicreviridae	2200.0
Aoguangviridae	92250.0
Armatusviridae	51150.00000000001
Avsunviroidae	350.0
Belpaoviridae	6900.0
Betaormycoviridae	4300.0
Burtonviroviridae	29750.0
Carmotetraviridae	6150.0
Chaacviridae	10450.0
Chiyouviridae	26850.0
Chuviridae	10550.0
Clermontviridae	37650.00000000001
Crepuscuviridae	12050.0
Crevaviridae	89650.0
Deltanormycoviridae	4700.0
Discoviridae	8000.0
Dishuiviroviridae	24750.0
Draupnirviridae	3400.0
Dumbiviridae	4600.0
Ekchuahviridae	76150.0
Endolinaviridae	2900.0000000000005
Endornaviridae	13649.999999999998
Eupolintoviridae	12650.0
Eurekaviridae	17950.0
Euroniviridae	27000.0
Fusariviridae	8350.000000000002
Gammaormycoviridae	4400.0
Gandrviridae	7150.0
Geplanaviridae	2450.0
Gresnaviridae	18450.0
Gulliviroviridae	30750.0
Hadakaviridae	14800.0
Hakuzoviridae	10500.0
Huangdiviridae	26600.0
Hypoviridae	12850.0
Itzamnaviridae	37200.0
Kairosviridae	34150.00000000001
Kanorauviridae	2850.0
Kirkoviridae	3550.0
Konodaiviridae	57250.0
Leishbuviridae	8650.0
Lutetiaviridae	83050.0
Mahapunaviridae	2200.0
Medioniviridae	25050.0
Metaviridae	9250.0
Mitoviridae	3550.0
Mononiviridae	41150.00000000001
Mycoalphaviridae	7050.0
Nanghoshaviridae	13149.999999999998
Nanhypoviridae	18250.0
Narnaviridae	2700.0
Naryaviridae	2250.0
Nenyaviridae	2300.0
Nipumfusiviridae	32600.0
Olifoviridae	15350.000000000002
Omnilimnoviroviridae	23350.0
Oomyviridae	3800.0
Ootiviridae	5550.000000000001
Ouroboviridae	1900.0
Parnassusviridae	10050.0
Pecoviridae	2900.0000000000005
Phypoliviridae	26450.0
Pigerviridae	53250.0
Pospiviroidae	300.00000000000006
Qinviridae	7800.000000000001
Quambiviridae	4850.0
Redondoviridae	3050.0
Ruviroviridae	26250.0
Skuldviridae	11350.0
Smacoviridae	2650.0000000000005
Solspiviridae	4650.0
Soropartitiviridae	3400.0
Speroviridae	42450.0
Spiciviridae	7450.0
Splipalmiviridae	5500.0
Sunviridae	17150.0
Suoliviridae	98700.0
Tolecusatellitidae	1000.0
Toyamaviridae	65050.0
Trimbiviridae	4700.0
Tulasviridae	13200.0
Umezonoviridae	30250.0
Unambiviridae	4600.0
Verdandiviridae	20000.0
Vilyaviridae	2150.0
Wupedeviridae	20450.0
Xinmoviridae	12649.999999999998
Yadokariviridae	4600.0
Yangangviridae	37450.0
Yanlukaviridae	35849.99999999999
Yaraviridae	44950.0
Yueviridae	7949.999999999999
Asemoviridae	10300.0
Finnlakeviridae	9149.999999999998
Mestraviridae	8800.0
Ackermannviridae	153649.99999999997
Adenoviridae	36500.0
Aggregaviridae	43150.00000000001
Aliceevansviridae	38850.0
Alisviridae	34250.0
Allomimiviridae	668050.0
Alphaflexiviridae	7150.0
Alphatetraviridae	7300.0
Alternaviridae	9650.0
Alvernaviridae	4350.0
Amalgaviridae	3150.0
Anaerodiviridae	37150.00000000001
Andersonviridae	85199.99999999999
Anelloviridae	2850.0
Apasviridae	108250.0
Arenbergviridae	286750.0
Artiviridae	7500.0
Aspiviridae	11750.0
Assiduviridae	55400.0
Astroviridae	6750.0
Atkinsviridae	4000.0
Autolykiviridae	10350.0
Autonotataviridae	37850.0
Autoscriptoviridae	42450.0
Autosignataviridae	42800.0
Autotranscriptaviridae	38250.0
Bacilladnaviridae	3600.0
Barnaviridae	4050.0
Bartogtaviriformidae	
Benyviridae	13600.0
Berryhillviridae	48950.0
Betaflexiviridae	7950.0
Bicaudaviridae	62750.0
Bidnaviridae	12550.0
Birnaviridae	6200.0
Blumeviridae	4300.000000000001
Botourmiaviridae	3450.0
Botybirnaviridae	11750.0
Brachygtaviriformidae	
Bromoviridae	8300.0
Caliciviridae	7350.000000000001
Casidaviridae	45300.0
Casjensviridae	59200.0
Caulimoviridae	8150.0
Chaseviridae	54100.0
Chimalliviridae	263950.0
Chrysoviridae	12450.000000000002
Circoviridae	2000.0
Clavaviridae	5250.0
Closteroviridae	16149.999999999998
Colingsworthviridae	43050.0
Connertonviridae	153500.0
Corticoviridae	10300.0
Curvulaviridae	4000.0
Deltaflexiviridae	8000.0
Demerecviridae	119800.0
Dicistroviridae	9250.0
Drexlerviridae	46050.0
Druskaviridae	102800.0
Duinviridae	4000.0
Duneviridae	43100.0
Ehrlichviridae	50650.0
Epsomviridae	659950.0
Felixviridae	45600.0
Fervensviridae	31250.0
Fiersviridae	4150.0
Forsetiviridae	45550.0
Fredfastierviridae	43400.0
Fusagraviridae	9450.0
Fuselloviridae	19450.0
Fuxiviridae	31950.0
Gammaflexiviridae	8200.0
Geminiviridae	3950.0
Genomoviridae	2150.0
Giardiaviridae	6250.0
Graaviviridae	41000.0
Grimontviridae	93650.0
Guelinviridae	18650.0
Hafunaviridae	66700.0
Haloferuviridae	36900.00000000001
Halomagnusviridae	143850.00000000003
Helgolandviridae	37550.0
Herelleviridae	136750.0
Hodgkinviridae	54350.0
Iflaviridae	9900.0
Inoviridae	8050.000000000001
Inseviridae	5949.999999999999
Intestiviridae	93900.0
Jeanschmidtviridae	281750.0
Kleczkowskaviridae	207250.0
Konkoviridae	10250.0
Krittikaviridae	79950.0
Kruegerviridae	86050.0
Kunpengviridae	35750.0
Kyanoviridae	198400.0
Lakviridae	512000.0
Lebotiviridae	7400.0
Leisingerviridae	26150.0
Lindbergviridae	66950.0
Ludisviridae	48650.00000000001
Madisaviridae	49150.00000000001
Madridviridae	19550.0
Mamonoviridae	372050.0
Marnaviridae	7949.999999999999
Marseilleviridae	363400.0
Matsushitaviridae	18350.0
Maviroviridae	19050.0
Mayoviridae	8450.0
Mazoviaviridae	120150.0
Megabirnaviridae	15450.0
Megatotiviridae	12900.0
Mesomimiviridae	455400.0
Mesyanzhinovviridae	59599.99999999999
Metaxyviridae	4450.0
Microviridae	5350.0
Mimiviridae	1304700.0
Mktvariviridae	74000.0
Molycolviridae	124400.0
Monocitiviridae	6050.0
Mymonaviridae	8649.999999999998
Nanoviridae	7250.0
Naomviridae	75050.0
Nixviridae	45750.0
Nodaviridae	4400.0
Noraviridae	12350.000000000002
Obscuriviridae	6500.0
Orlajensenviridae	17300.0
Orpheoviridae	1473550.0
Orthototiviridae	4750.0
Pachyviridae	75150.0
Pamosaviridae	850.0000000000001
Papillomaviridae	7199.999999999999
Partitiviridae	3900.0
Parvoviridae	5050.0
Paulinoviridae	5750.0
Peduoviridae	36200.0
Permutotetraviridae	5650.0
Pervagoviridae	72750.0
Phlegiviridae	10500.0
Phycodnaviridae	281000.0
Picobirnaviridae	3900.0
Picornaviridae	6149.999999999999
Pistolviridae	6250.0
Pithoviridae	571650.0
Plectroviridae	6350.000000000001
Polycipiviridae	11250.0
Polymycoviridae	9850.000000000002
