"sample_id","assembler","fasta"
"ST3-3","0001","ST3-3_0001_DODSAFE_WF_barcode0013_CLC.fasta"
"ST3-3","0001","ST3-3_0001_DODSAFE_WF_barcode0013_dragonflye.fasta"
"ST3-3","0001","ST3-3_0001_DODSAFE_WF_barcode0014_CLC.fasta"
"ST3-3","0001","ST3-3_0001_DODSAFE_WF_barcode0014_dragonflye.fasta"
"ST3-3","0001","ST3-3_0001_DODSAFE_WF_barcode0015_CLC.fasta"
"ST3-3","0001","ST3-3_0001_DODSAFE_WF_barcode0015_dragonflye.fasta"
"ST3-3","0002","ST3-3_0002_DD_SS_barcode0013_CLC.fasta"
"ST3-3","0002","ST3-3_0002_DD_SS_barcode0013_dragonflye.fasta"
"ST3-3","0002","ST3-3_0002_DD_SS_barcode0014_CLC.fasta"
"ST3-3","0002","ST3-3_0002_DD_SS_barcode0014_dragonflye.fasta"
"ST3-3","0002","ST3-3_0002_DD_SS_barcode0015_CLC.fasta"
"ST3-3","0002","ST3-3_0002_DD_SS_barcode0015_dragonflye.fasta"
"ST3-3","0003","ST3-3_0003_DODSAFE_SS_barcode0016_CLC.fasta"
"ST3-3","0003","ST3-3_0003_DODSAFE_SS_barcode0016_dragonflye.fasta"
"ST3-3","0003","ST3-3_0003_DODSAFE_SS_barcode0017_CLC.fasta"
"ST3-3","0003","ST3-3_0003_DODSAFE_SS_barcode0017_dragonflye.fasta"
"ST3-3","0003","ST3-3_0003_DODSAFE_SS_barcode0018_CLC.fasta"
"ST3-3","0003","ST3-3_0003_DODSAFE_SS_barcode0018_dragonflye.fasta"
"ST3-3","0004","ST3-3_0004_WEBTAK_MF_barcode0022_CLC.fasta"
"ST3-3","0004","ST3-3_0004_WEBTAK_MF_barcode0023_CLC.fasta"
"ST3-3","0004","ST3-3_0004_WEBTAK_MF_barcode0024_CLC.fasta"
"ST3-3","0005","ST3-3_0005_DODSAFE_MF_barcode0016_CLC.fasta"
"ST3-3","0005","ST3-3_0005_DODSAFE_MF_barcode0016_dragonflye.fasta"
"ST3-3","0005","ST3-3_0005_DODSAFE_MF_barcode0017_CLC.fasta"
"ST3-3","0005","ST3-3_0005_DODSAFE_MF_barcode0017_dragonflye.fasta"
"ST3-3","0005","ST3-3_0005_DODSAFE_MF_barcode0018_CLC.fasta"
"ST3-3","0005","ST3-3_0005_DODSAFE_MF_barcode0018_dragonflye.fasta"
